PDB_ID,Resolution,Year,Ki,Measurement,Is_Ki
3g2y,1.31,2009,2,Ki=10mM,True
3pce,2.06,1998,2,Ki=10mM,True
3gv9,1.8,2009,2.12,Ki=7.5mM,True
6abx,1.7,2019,2.14,Ki=7.19mM,True
4q90,1.54,2015,2.15,Ki=7.0mM,True
4tim,2.4,1992,2.16,Ki=6.9mM,True
3gqz,1.8,2009,2.17,Ki=6.7mM,True
5z5f,2.1,2018,2.17,Ki=6.8mM,True
1m0n,2.2,2002,2.22,Ki=6.0mM,True
1ajp,2.31,1997,2.23,Ki=5.85mM,True
3i3b,2.2,2010,2.23,Ki=5.9mM,True
1ew8,2.2,2002,2.26,Ki=5.5mM,True
1ps3,1.8,2003,2.28,Ki=5.2mM,True
3ip8,1.5,2009,2.28,Ki=5.2mM,True
3dyo,1.8,2008,2.3,Ki=5.0mM,True
3kgq,1.7,2010,2.3,Ki=5mM,True
3mhw,1.45,2010,2.3,Ki=5.03mM,True
3pcg,1.96,1998,2.3,Ki=5mM,True
3rv4,1.98,2011,2.3,Ki=5mM,True
4jsz,1.9,2013,2.3,Ki=5000uM,True
1m0o,2.4,2002,2.31,Ki=4.9mM,True
4y0a,1.91,2015,2.31,Ki=4950uM,True
4iie,2,2013,2.34,Ki=4.6mM,True
3gtc,1.9,2009,2.35,Ki=4.5mM,True
3g2z,1.5,2009,2.36,Ki=4.4mM,True
3t0d,1.93,2012,2.37,Ki=4.3mM,True
6md8,1.4,2019,2.38,Ki=4200uM,True
1f73,1.95,2000,2.39,Ki=4.1mM,True
1nwl,2.4,2003,2.39,Ki=4.1mM,True
3mjl,1.9,2010,2.44,Ki=3.6mM,True
4x8u,2.1,2015,2.46,Ki=3.5mM,True
1gyx,1.35,2002,2.48,Ki=3.3mM,True
4kz7,1.43,2014,2.49,Ki=3.2mM,True
1ai4,2.35,1997,2.5,Ki=3.13mM,True
3g30,1.8,2009,2.51,Ki=3.1mM,True
3gr2,1.8,2009,2.52,Ki=3mM,True
3mfv,1.9,2010,2.52,Ki=3000uM,True
3vdb,2.05,2012,2.52,Ki=3.03mM,True
3b3s,1.18,2007,2.55,Ki=2800uM,True
3kgp,2.35,2009,2.57,Ki=2.68mM,True
3gvb,1.8,2009,2.59,Ki=2.6mM,True
4o3c,1.5,2014,2.59,Ki=2.57mM,True
1ajn,2.36,1997,2.63,Ki=2.32mM,True
4q7w,1.45,2015,2.64,Ki=2300uM,True
4q8y,1.45,2015,2.64,Ki=2300uM,True
4ufl,2.4,2015,2.64,Ki=2.3mM,True
3lvw,2.5,2010,2.67,Ki=2.12mM,True
2fzc,2.1,2006,2.7,Ki=1990uM,True
6nmb,2.3,2019,2.7,Ki=2.01mM,True
2rkd,1.9,2008,2.72,Ki=1.9mM,True
2qwb,2,1998,2.74,Ki=1820uM,True
4m6u,1.8,2014,2.74,Ki=1.8mM,True
1rql,2.4,2004,2.75,Ki=1.79mM,True
4bt5,1.1,2013,2.76,Ki=1.72mM,True
2bet,2.2,2004,2.77,Ki=1.7mM,True
3fcq,1.75,2009,2.77,Ki=1.7mM,True
4kz3,1.67,2014,2.77,Ki=1.7mM,True
4ykk,1.38,2015,2.77,Ki=1.7mM,True
2bza,1.9,1999,2.8,Ki=1.58mM,True
3djx,1.69,2009,2.81,Ki=1557.9uM,True
5th4,1.47,2017,2.85,Ki=1420uM,True
1cet,2.05,1999,2.89,Ki=1.3mM,True
1iih,2.2,2001,2.89,Ki=1.3mM,True
3g31,1.7,2009,2.89,Ki=1.3mM,True
4gqq,1.35,2012,2.89,Ki=1.3mM,True
4llx,1.75,2014,2.89,Ki=1300uM,True
3c2u,1.3,2008,2.9,Ki=1.25mM,True
1h2k,2.15,2002,2.92,Ki=1.2mM,True
3k8c,2.1,2010,2.92,Ki=1.2mM,True
4lm3,1.49,2014,2.92,Ki=1200uM,True
1tng,1.8,1994,2.93,Ki=1.17mM,True
1f4e,1.9,2000,2.96,Ki=1.1mM,True
3g34,1.31,2009,2.96,Ki=1.1mM,True
4owm,1.99,2014,2.96,Ki=1090uM,True
3djq,1.53,2009,2.98,Ki=1046.4uM,True
4bps,1.08,2013,2.99,Ki=1.02mM,True
1ecq,2,2000,3,Ki=1.0mM,True
2rka,1.95,2008,3,Ki=1mM,True
4llk,1.55,2014,3,Ki=990uM,True
4r3w,1.91,2014,3,Ki=1.0mM,True
4q81,1.55,2015,3.02,Ki=950uM,True
4lm2,1.55,2014,3.03,Ki=940uM,True
1rtf,2.3,1997,3.04,Ki=910uM,True
3t08,2,2012,3.04,Ki=0.91mM,True
4lm4,1.48,2014,3.04,Ki=910uM,True
1f74,1.6,2000,3.05,Ki=0.9mM,True
1uj5,2,2004,3.05,Ki=0.89mM,True
1rnm,2,1996,3.07,Ki=844.2uM,True
3mof,1.75,2010,3.07,Ki=860uM,True
1y1z,1.5,2005,3.08,Ki=0.831mM,True
1ec9,2,2000,3.1,Ki=0.8mM,True
4kz6,1.68,2014,3.1,Ki=0.8mM,True
4bt3,1.1,2013,3.12,Ki=0.76mM,True
6d1k,1.2,2019,3.13,Ki=741.3uM,True
2ya7,1.89,2011,3.14,Ki=0.72mM,True
1e6q,1.35,2001,3.15,Ki=0.7mM,True
3g1v,1.3,2009,3.19,Ki=645uM,True
1br6,2.3,1998,3.22,Ki=0.6mM,True
1e6s,1.35,2000,3.22,Ki=0.6mM,True
1ew9,2,2002,3.22,Ki=0.6mM,True
1k1y,2.4,2003,3.22,Ki=0.6mM,True
2ri9,1.95,2008,3.22,Ki=0.6mM,True
2uy3,1.9,2007,3.22,Ki=600uM,True
1px4,1.6,2004,3.23,Ki=0.59mM,True
4lm1,1.6,2014,3.23,Ki=590uM,True
3qfz,2.39,2011,3.24,Ki=570uM,True
4qlk,1.83,2015,3.24,Ki=0.57mM,True
1v2j,1.9,2004,3.25,Ki=566uM,True
4lm0,1.66,2014,3.25,Ki=560uM,True
5yas,2.2,1999,3.26,Ki=0.55mM,True
3d52,1.6,2008,3.28,Ki=520uM,True
3tfu,1.94,2011,3.28,Ki=520uM,True
6ibk,1.99,2019,3.29,Ki=509uM,True
1phw,2.36,2004,3.3,Ki=0.5mM,True
1tpw,1.9,1995,3.3,Ki=0.5mM,True
2vw2,1.7,2008,3.3,Ki=0.5mM,True
3aaq,2,2010,3.3,Ki=0.5mM,True
4jss,1.5,2013,3.3,Ki=500uM,True
4mrw,1.96,2014,3.3,Ki=500uM,True
4msa,1.62,2014,3.3,Ki=500uM,True
1i2s,1.7,2002,3.31,Ki=490uM,True
1pzp,1.45,2004,3.31,Ki=490uM,True
2wk6,2.5,2009,3.32,Ki=0.48mM,True
6efj,1.65,2019,3.32,Ki=477uM,True
4bt4,1.6,2013,3.34,Ki=0.46mM,True
3pwk,1.5,2012,3.35,Ki=0.45mM,True
4lkq,1.62,2014,3.35,Ki=450uM,True
1tnh,1.8,1994,3.37,Ki=0.43mM,True
1v2u,1.8,2004,3.37,Ki=427uM,True
3d8z,1.98,2009,3.37,Ki=423uM,True
6mnv,1.65,2019,3.37,Ki=428uM,True
2fzg,2.25,2006,3.38,Ki=420uM,True
4qll,1.85,2015,3.38,Ki=0.42mM,True
4lhm,1.52,2014,3.39,Ki=0.41mM,True
1bxr,2.1,1999,3.4,Ki=0.4mM,True
1f8d,1.4,2001,3.4,Ki=400uM,True
1uz4,1.71,2004,3.4,Ki=400uM,True
2v2c,1.89,2008,3.41,Ki=0.39mM,True
2sim,1.6,1994,3.42,Ki=0.38mM,True
4llj,1.56,2014,3.42,Ki=380uM,True
4n8q,2.08,2014,3.42,Ki=380uM,True
2xog,1.72,2011,3.43,Ki=0.37mM,True
4umc,2.34,2014,3.44,Ki=360uM,True
6exs,2.5,2018,3.44,Ki=362uM,True
1moq,1.57,1998,3.46,Ki=0.35mM,True
3muz,1.9,2011,3.46,Ki=0.35mM,True
4k5p,1.85,2013,3.46,Ki=345uM,True
6hgr,1.52,2019,3.46,Ki=350uM,True
4h42,2.01,2013,3.47,Ki=341uM,True
3g1d,1.5,2009,3.48,Ki=330uM,True
3nyd,1.23,2011,3.48,Ki=330uM,True
1c5o,1.9,2000,3.49,Ki=320uM,True
6d9x,1.83,2018,3.49,Ki=323uM,True
5mby,1.55,2017,3.51,Ki=0.31mM,True
1jys,1.9,2002,3.52,Ki=300uM,True
2j27,1.15,2007,3.52,Ki=0.3mM,True
2vw1,2.39,2008,3.52,Ki=0.3mM,True
3mfw,1.47,2010,3.52,Ki=300uM,True
4mrz,1.58,2014,3.52,Ki=300uM,True
1v2r,1.7,2004,3.55,Ki=278.96uM,True
2qwc,1.6,1998,3.55,Ki=280uM,True
1h46,1.52,2003,3.57,Ki=270uM,True
1np0,2.5,2003,3.57,Ki=270uM,True
3ff3,1.37,2009,3.57,Ki=270uM,True
4q8x,1.55,2015,3.57,Ki=270uM,True
3dx1,1.21,2009,3.58,Ki=265uM,True
2gsu,2,2006,3.59,Ki=260uM,True
4q7v,1.6,2015,3.59,Ki=260uM,True
6dpz,1.5,2018,3.59,Ki=259uM,True
2fzk,2.5,2006,3.6,Ki=250uM,True
3b3x,2.5,2007,3.6,Ki=250uM,True
3g0i,2.1,2009,3.6,Ki=250uM,True
3jdw,2.4,1998,3.6,Ki=253uM,True
1pb9,1.6,2003,3.62,Ki=241uM,True
6mll,1.86,2019,3.62,Ki=239uM,True
1gyy,1.35,2002,3.64,Ki=230uM,True
2azr,2,2005,3.64,Ki=230uM,True
2rk8,2,2008,3.64,Ki=230uM,True
5yum,2.43,2018,3.65,Ki=223uM,True
3t2q,2.4,2012,3.66,Ki=0.22mM,True
5nzn,1.73,2018,3.66,Ki=220000nM,True
1c3x,2.4,1999,3.68,Ki=210uM,True
4isu,2.3,2013,3.68,Ki=0.21mM,True
4ovg,1.9,2014,3.69,Ki=204uM,True
6gg4,2.46,2018,3.69,Ki=205uM,True
1loq,1.5,2002,3.7,Ki=0.2mM,True
1pdz,2.2,1995,3.7,Ki=0.2mM,True
1wht,2,1994,3.7,Ki=0.2mM,True
2bvr,1.25,2006,3.7,Ki=200uM,True
2fx6,1.57,2006,3.7,Ki=200uM,True
3n7a,2,2011,3.7,Ki=200uM,True
5j41,1.19,2016,3.7,Ki=199uM,True
3g32,1.31,2009,3.71,Ki=0.194mM,True
1ai5,2.36,1997,3.72,Ki=0.189mM,True
1grp,2.5,1996,3.72,Ki=0.189mM,True
2am4,1.7,2006,3.72,Ki=190uM,True
3f5l,1.37,2009,3.72,Ki=0.191mM,True
4tln,2.3,1982,3.72,Ki=190uM,True
4ufm,2.4,2015,3.72,Ki=190uM,True
6d1h,1.25,2019,3.72,Ki=190.2uM,True
1f5k,1.8,2001,3.74,Ki=180uM,True
3d6p,1.6,2009,3.75,Ki=179uM,True
2x09,2.4,2010,3.76,Ki=175uM,True
1kui,1.5,2002,3.77,Ki=0.169mM,True
2v2h,1.18,2008,3.77,Ki=0.17mM,True
6euc,2.22,2018,3.77,Ki=168uM,True
6hgs,1.55,2019,3.77,Ki=170uM,True
1kug,1.37,2002,3.8,Ki=0.160mM,True
2hb1,2,2006,3.8,Ki=160uM,True
3t09,1.75,2012,3.8,Ki=0.16mM,True
5uf0,1.35,2017,3.8,Ki=160uM,True
3ai8,2.11,2011,3.81,Ki=154.4uM,True
4keq,2.28,2014,3.82,Ki=150uM,True
1j16,1.6,2002,3.84,Ki=143uM,True
2wzs,2.25,2009,3.85,Ki=140uM,True
3mv0,2.2,2011,3.85,Ki=0.14mM,True
4kiu,2.4,2014,3.85,Ki=140uM,True
3spf,1.7,2012,3.86,Ki=138uM,True
5oh9,1.65,2018,3.86,Ki=137uM,True
3wjw,1.59,2013,3.87,Ki=134uM,True
5oh3,2.1,2018,3.87,Ki=136uM,True
3si4,1.27,2012,3.88,Ki=132.2uM,True
4mjp,1.85,2013,3.88,Ki=131uM,True
1m0q,2,2002,3.89,Ki=0.13mM,True
2ctc,1.4,1994,3.89,Ki=0.13mM,True
3iae,2.3,2010,3.89,Ki=0.13mM,True
4ufk,2.4,2015,3.89,Ki=130uM,True
2gvv,1.73,2006,3.9,Ki=125uM,True
2qw1,1.7,2008,3.9,Ki=125uM,True
2rkm,1.8,1997,3.9,Ki=125uM,True
4qgi,1.9,2014,3.9,Ki=125uM,True
6c85,2.4,2019,3.9,Ki=126uM,True
1kuk,1.45,2002,3.91,Ki=0.124mM,True
6d1b,1.25,2019,3.91,Ki=123.7uM,True
1pr5,2.5,2003,3.92,Ki=120uM,True
3twp,1.83,2012,3.92,Ki=119uM,True
6g9x,2.3,2019,3.92,Ki=120uM,True
6hzy,1.7,2019,3.92,Ki=121uM,True
1h5v,1.1,2002,3.93,Ki=117uM,True
2v3d,1.96,2007,3.94,Ki=116uM,True
6cbg,2,2018,3.95,Ki=113uM,True
1mrs,2,2003,3.96,Ki=110uM,True
2fpz,2,2006,3.96,Ki=110uM,True
2wec,1.5,1998,3.96,Ki=110uM,True
3gt9,1.7,2010,3.96,Ki=0.11mM,True
4gqr,1.2,2012,3.96,Ki=110uM,True
3b3c,1.46,2007,3.98,Ki=105uM,True
1rpf,2.2,1994,3.99,Ki=103uM,True
1e5j,1.85,2001,4,Ki=100uM,True
1tni,1.9,1994,4,Ki=0.10mM,True
1wc1,1.93,2004,4,Ki=0.1mM,True
2ot1,2.05,2007,4,Ki=0.1mM,True
2qrl,1.6,2007,4,Ki=100uM,True
3vd9,2.05,2012,4,Ki=0.10mM,True
4p6c,1.86,2015,4,Ki=100uM,True
4umb,2.17,2014,4,Ki=99uM,True
5wcm,1.2,2017,4,Ki=100uM,True
1v2w,1.75,2004,4.01,Ki=97.79uM,True
2wvz,2.4,2009,4.02,Ki=96uM,True
5vsj,2.46,2017,4.02,Ki=95uM,True
2q8m,2.05,2007,4.03,Ki=94uM,True
2x96,1.85,2010,4.03,Ki=94uM,True
4msn,2.3,2014,4.03,Ki=94uM,True
5nzf,1.75,2018,4.03,Ki=94000nM,True
1hi5,1.8,2001,4.04,Ki=92uM,True
2w66,2.27,2009,4.05,Ki=89uM,True
8a3h,0.97,2000,4.06,Ki=88uM,True
1hyo,1.3,2001,4.07,Ki=84.8uM,True
2v2v,2.4,2007,4.07,Ki=85.8uM,True
6dai,1.63,2018,4.07,Ki=85.2uM,True
2rke,1.8,2008,4.08,Ki=82.5uM,True
2z1w,1.63,2007,4.08,Ki=83uM,True
3kwa,2,2010,4.08,Ki=84uM,True
1ai7,2.5,1997,4.09,Ki=0.082mM,True
1o0n,1.5,2003,4.09,Ki=82uM,True
4b9z,2,2012,4.09,Ki=81.4uM,True
6d1i,1.1,2019,4.09,Ki=81uM,True
1c5t,1.37,2000,4.1,Ki=80uM,True
2bvs,1.4,2006,4.1,Ki=80uM,True
4cr9,1.7,2015,4.1,Ki=80uM,True
6dpy,1.91,2018,4.1,Ki=80uM,True
2exm,1.8,2005,4.11,Ki=78uM,True
3d6o,1.58,2009,4.11,Ki=77uM,True
4de2,1.4,2012,4.12,Ki=76.0uM,True
4kxb,2.4,2013,4.12,Ki=75uM,True
3ozt,1.48,2011,4.13,Ki=74.9uM,True
3qto,1.52,2012,4.13,Ki=74.8uM,True
4ovf,2.05,2014,4.13,Ki=74uM,True
4yc0,1.5,2015,4.13,Ki=74uM,True
1m2x,1.5,2003,4.15,Ki=70uM,True
1q91,1.6,2004,4.15,Ki=70uM,True
2v2q,2.3,2007,4.15,Ki=71.2uM,True
2xg9,1.8,2010,4.15,Ki=70uM,True
3a9i,1.8,2009,4.15,Ki=70.7uM,True
3d51,1.43,2008,4.15,Ki=70uM,True
3sur,1.9,2012,4.15,Ki=70uM,True
3sus,1.8,2012,4.15,Ki=71uM,True
4cr5,2,2015,4.15,Ki=70uM,True
4kz4,1.42,2014,4.15,Ki=0.07mM,True
3si3,1.55,2012,4.16,Ki=69.3uM,True
1v2s,1.72,2004,4.17,Ki=68uM,True
4oma,1.6,2014,4.17,Ki=68uM,True
3q2j,2.15,2011,4.18,Ki=66.1uM,True
1hi3,1.8,2001,4.19,Ki=64uM,True
3b3w,1.75,2007,4.19,Ki=65uM,True
3sv2,1.3,2012,4.19,Ki=64.0uM,True
4n9a,1.9,2013,4.19,Ki=64uM,True
4q83,1.55,2015,4.19,Ki=64uM,True
1c5y,1.65,2000,4.2,Ki=63uM,True
1c87,2.1,2000,4.2,Ki=63uM,True
1ghw,1.75,2002,4.2,Ki=63uM,True
3djp,1.6,2009,4.2,Ki=63.2uM,True
3qx5,1.35,2012,4.2,Ki=63.5uM,True
5fcz,2.45,2016,4.2,Ki=63uM,True
4bqs,2.15,2013,4.21,Ki=62uM,True
4u6w,1.83,2015,4.21,Ki=61.3uM,True
5ti0,1.42,2017,4.21,Ki=61uM,True
1kv5,1.65,2002,4.22,Ki=60uM,True
1t5f,2.2,2005,4.22,Ki=60uM,True
1ua4,1.9,2004,4.22,Ki=0.06mM,True
4oak,2,2014,4.22,Ki=59.7uM,True
2jke,1.7,2008,4.23,Ki=59uM,True
2jkp,1.99,2008,4.23,Ki=59uM,True
2bes,2.1,2004,4.24,Ki=57uM,True
50000000000000,1.34,2015,4.24,Ki=57.8uM,True
5oh2,1.9,2018,4.24,Ki=57uM,True
6d1j,1.15,2019,4.25,Ki=56.2uM,True
6mdu,1.15,2019,4.25,Ki=56uM,True
2qrk,1.75,2007,4.26,Ki=55uM,True
3qwc,1.75,2012,4.26,Ki=55.4uM,True
4u69,1.6,2015,4.26,Ki=54.8uM,True
6hh5,1.95,2018,4.27,Ki=54.2uM,True
3f5j,1.95,2009,4.28,Ki=0.052mM,True
3gta,1.7,2010,4.28,Ki=53uM,True
4ufj,2.2,2015,4.28,Ki=52uM,True
1e2l,2.4,2000,4.29,Ki=51.5uM,True
1v2l,1.6,2004,4.29,Ki=51uM,True
1a30,2,1998,4.3,Ki=50uM,True
1amk,1.83,1997,4.3,Ki=50uM,True
1w3k,1.2,2004,4.3,Ki=50uM,True
3t0b,2.4,2012,4.3,Ki=0.05mM,True
4eoh,2.1,2012,4.3,Ki=50uM,True
1ajq,2.05,1997,4.31,Ki=0.049mM,True
2qtt,1.93,2008,4.32,Ki=48uM,True
4q7p,1.65,2015,4.32,Ki=48uM,True
1z6s,1.5,2005,4.34,Ki=46uM,True
1ghv,1.85,2002,4.35,Ki=45uM,True
1yfz,2.2,2005,4.35,Ki=45uM,True
4owv,1.9,2014,4.35,Ki=45uM,True
6d1a,1.25,2019,4.35,Ki=44.3uM,True
6r1a,1.54,2019,4.35,Ki=45uM,True
1dy4,1.9,2000,4.36,Ki=44uM,True
5oh7,1.85,2018,4.37,Ki=43uM,True
3u9q,1.52,2011,4.38,Ki=41.7uM,True
2avq,1.3,2006,4.39,Ki=41uM,True
3djo,1.6,2009,4.39,Ki=40.8uM,True
1p57,1.75,2004,4.4,Ki=40uM,True
2pwd,1.8,2007,4.4,Ki=40uM,True
5uv2,2.2,2017,4.4,Ki=39.5uM,True
1no6,2.4,2003,4.41,Ki=39uM,True
2csn,2.5,1996,4.41,Ki=39uM,True
3uxd,1.8,2012,4.41,Ki=39.3uM,True
4exs,2.4,2012,4.41,Ki=39.0uM,True
4ou3,1.95,2014,4.41,Ki=38.7uM,True
4ek9,2.5,2012,4.42,Ki=38000nM,True
4q7s,1.8,2015,4.42,Ki=38uM,True
2pu2,1.86,2008,4.43,Ki=37uM,True
4dsy,2.3,2012,4.43,Ki=37uM,True
4qf9,2.28,2015,4.43,Ki=37.1uM,True
4ykj,1.4,2015,4.43,Ki=37uM,True
4zw5,1.8,2016,4.43,Ki=37uM,True
3u81,1.13,2012,4.44,Ki=36uM,True
6ppy,2,2019,4.44,Ki=36uM,True
2wbg,1.85,2009,4.45,Ki=35.2uM,True
4gki,1.88,2012,4.46,Ki=34.4uM,True
4i8n,2.5,2012,4.46,Ki=35uM,True
5dpx,1.85,2017,4.46,Ki=35uM,True
2r2w,2.01,2007,4.47,Ki=34uM,True
3hl5,1.8,2009,4.47,Ki=34uM,True
4cu8,2.5,2014,4.47,Ki=33.9uM,True
6d1d,1.4,2019,4.47,Ki=33.8uM,True
6d1g,1.15,2019,4.47,Ki=34.2uM,True
6f05,2.2,2018,4.47,Ki=34uM,True
1jaq,2.4,1996,4.48,Ki=33uM,True
1qan,2.4,2000,4.48,Ki=33uM,True
3p17,1.43,2011,4.48,Ki=33.4uM,True
3t01,1.6,2011,4.48,Ki=33uM,True
4dhl,2.3,2012,4.48,Ki=33uM,True
6d15,1.3,2019,4.48,Ki=32.9uM,True
1hi4,1.8,2001,4.49,Ki=32uM,True
1j14,2.4,2002,4.49,Ki=32.2uM,True
3hl8,1.55,2010,4.49,Ki=32uM,True
4cwf,2,2014,4.49,Ki=32.4uM,True
5t19,2.1,2017,4.49,Ki=32uM,True
3sw8,1.7,2011,4.5,Ki=31.72uM,True
1gi7,1.79,2002,4.51,Ki=31uM,True
3aas,1.75,2010,4.51,Ki=31uM,True
4g90,1.9,2012,4.51,Ki=30.8uM,True
1ctt,2.2,1995,4.52,Ki=30uM,True
1mrn,2.45,2003,4.52,Ki=30uM,True
1z4o,1.9,2005,4.52,Ki=30uM,True
2wm0,1.9,2010,4.52,Ki=30uM,True
3h30,1.56,2009,4.53,Ki=29.2uM,True
1lyx,1.9,2003,4.54,Ki=0.029mM,True
2zz1,1.57,2009,4.54,Ki=29uM,True
2zz2,1.53,2009,4.54,Ki=29uM,True
6p5o,1.49,2019,4.54,Ki=28.6uM,True
3djv,1.6,2009,4.55,Ki=27.9uM,True
3rr4,1.68,2012,4.55,Ki=28.05uM,True
3suv,1.6,2012,4.55,Ki=28uM,True
5oh4,2.3,2018,4.55,Ki=28uM,True
6edr,2.4,2018,4.55,Ki=28.5uM,True
4fp1,1.68,2013,4.57,Ki=0.027mM,True
5j7q,2.05,2016,4.58,Ki=26.6uM,True
1bma,1.8,1995,4.59,Ki=26uM,True
2ihj,2,2007,4.59,Ki=25.7uM,True
2jiw,1.95,2007,4.59,Ki=26uM,True
3hp9,1.6,2010,4.59,Ki=26uM,True
4g8y,1.8,2012,4.59,Ki=25.8uM,True
1pa9,2,2003,4.6,Ki=25uM,True
